Run Number,Catastrophe Point Found?,Fundamentalists Initialised,Speculators Initialised,Speculators Added/Removed Per Cycle,Num Cycle,Cool off Per Cycle,Speculator Proportion at CUSP,Market Price at CUSP,Excess Demand,Kurtosis MP,Kurtosis ED,Kurtosis SP,MP Volatility Last 100 Trades,MP Volatility Last 10 Trades,Overall Sim Volatility,Pre-CUSP Market Price Difference,Last 100 Pre-CUSP Market Prices Difference,Total Trades,Catastrophe Point Index
1,True,900,1600,1,45,1,65.12%,87.35,-207,-0.62527,-1.5026,-1.19882,0.57,0.577,6.45,114.1,27.05,112500,71493
2,True,900,1600,1,45,1,65.0%,73.95,-455,-0.16795,-1.40396,-1.20151,1.845,nan,6.161,104.75,16.55,112500,64690
3,True,900,1600,1,45,1,65.08%,85.25,-585,-0.48367,-1.21082,-1.20111,0.654,0.577,6.202,104.1,12.35,112500,67776
4,True,900,1600,1,45,1,64.8%,92.05,-568,0.00516,-1.08115,-1.1971,9.195,0.577,7.266,107.15,13.0,112500,51082
5,True,900,1600,1,45,1,64.84%,68.2,-241,-0.55042,-0.04353,-1.19751,3.144,0.577,6.566,124.2,14.95,112500,53799
6,True,900,1600,1,45,1,65.08%,69.15,-643,0.10629,0.28046,-1.19846,0.489,0.577,6.444,109.5,16.45,112500,68509
7,True,900,1600,1,45,1,65.04%,92.25,-245,0.00988,-0.35813,-1.20067,0.631,0.577,6.136,96.7,12.65,112500,67053
8,True,900,1600,1,45,1,64.76%,92.7,-333,0.6228,-1.01473,-1.20254,0.74,0.577,7.734,102.4,9.2,112500,49675
9,True,900,1600,1,45,1,65.08%,90.7,-477,-0.07371,-1.22341,-1.20158,1.509,4.596,6.358,112.4,21.5,112500,67708
10,True,900,1600,1,45,1,65.04%,90.9,-266,-0.4047,-1.44564,-1.19946,0.747,nan,6.046,112.7,11.8,112500,66771
11,True,900,1600,1,45,1,64.88%,65.1,-550,0.63187,-0.98465,-1.19759,0.582,0.548,6.61,108.15,10.75,112500,56158
12,True,900,1600,1,45,1,65.12%,55.3,-635,-0.80067,-0.66615,-1.19914,2.865,0.707,6.352,126.05,18.2,112500,71640
13,True,900,1600,1,45,1,65.2%,58.15,-415,-0.41515,-1.29127,-1.19873,0.542,0.577,5.652,124.35,14.8,112500,76280
14,True,900,1600,1,45,1,65.04%,53.15,-493,0.70994,0.24591,-1.20339,8.099,0.491,5.688,122.75,9.2,112500,65017
15,True,900,1600,1,45,1,64.8%,93.15,-121,0.63682,-0.74016,-1.20234,3.043,0.577,6.76,108.1,8.8,112500,52182
16,True,900,1600,1,45,1,65.16%,75.55,-591,-0.21991,-1.41691,-1.19861,0.51,0.577,6.211,112.3,10.85,112500,73704
17,True,900,1600,1,45,1,64.84%,79.3,-316,0.53633,-1.19987,-1.19778,0.49,0.548,6.364,104.85,11.3,112500,53345
18,True,900,1600,1,45,1,64.92%,85.7,-518,-1.09606,0.42384,-1.1986,0.512,0.479,7.486,108.05,30.9,112500,58218
19,True,900,1600,1,45,1,64.8%,53.75,-370,1.3036,-1.35653,-1.20539,0.509,0.548,6.611,103.3,19.35,112500,52494
20,True,900,1600,1,45,1,65.0%,67.25,-402,-0.01258,-0.99289,-1.20068,0.527,0.577,6.723,130.0,16.45,112500,62857
21,True,900,1600,1,45,1,64.92%,63.4,-447,-0.42251,-1.32577,-1.20025,0.499,nan,5.897,106.45,7.45,112500,59444
22,True,900,1600,1,45,1,64.88%,73.4,-289,-0.06415,-1.20194,-1.2034,0.766,0.548,6.187,101.15,23.35,112500,55116
23,True,900,1600,1,45,1,64.8%,61.95,-308,-0.41325,-1.04706,-1.19862,0.611,0.542,6.566,112.25,19.15,112500,51666
24,True,900,1600,1,45,1,64.88%,71.9,-218,0.68371,-0.87993,-1.20128,0.975,0.577,6.615,106.8,14.3,112500,57094
25,True,900,1600,1,45,1,64.84%,61.65,-199,-0.17075,-1.50724,-1.19803,0.607,0.502,7.271,104.45,11.15,112500,53998
26,True,900,1600,1,45,1,64.96%,60.75,-297,-0.43812,-0.7058,-1.19971,0.59,nan,6.223,112.7,13.35,112500,61843
27,True,900,1600,1,45,1,64.96%,54.7,-243,-1.11911,-1.31648,-1.19808,0.499,0.707,6.113,121.55,3.3,112500,61309
28,True,900,1600,1,45,1,64.84%,69.2,-354,0.25093,-1.1512,-1.19747,0.555,0.785,7.002,95.1,10.7,112500,53778
29,True,900,1600,1,45,1,65.32%,54.05,-486,-1.01856,-1.36966,-1.20073,0.482,nan,5.779,124.9,15.95,112500,82787
30,True,900,1600,1,45,1,64.92%,87.8,-463,0.31782,-0.21977,-1.19874,0.51,0.65,6.128,95.2,13.8,112500,58183
31,True,900,1600,1,45,1,64.92%,60.05,-482,-0.54368,-1.43706,-1.19781,0.559,0.204,5.927,107.45,5.6,112500,58696
32,True,900,1600,1,45,1,65.0%,58.05,-765,0.61486,-1.33569,-1.1984,0.644,0.471,6.493,114.85,13.15,112500,63921
33,True,900,1600,1,45,1,65.0%,60.35,-335,-0.10528,-1.40232,-1.19815,0.522,nan,5.991,110.0,8.45,112500,63566
34,True,900,1600,1,45,1,65.12%,54.85,-262,-0.13692,-0.62468,-1.20256,0.7,0.728,6.673,120.3,9.9,112500,70061
